city,Annee,Mois,temperature,wind_speed,humidity,wetbulb_temperature,precipitation,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),climate_region
Drâa - Tafilalet,2022,10,24.229301075268815,11.593413978494624,25.723118279569892,55.28694470374719,0.7,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5701691504200395,1.2103191095210781,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2022,11,18.835,7.226249999999999,23.90277777777778,47.60617923837383,0.0,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.4839028717652396,1.1846257708011483,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2022,12,14.625268817204303,7.907258064516129,37.060483870967744,45.44373377223435,2.7,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.4529627326552772,1.195329085718108,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,1,10.914650537634408,6.827822580645161,32.64381720430107,39.167172738436676,0.4,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.3603359760642546,1.234004723798259,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,2,11.354910714285714,10.008482142857142,40.583333333333336,41.281036607007465,35.4,0.0053746436030833915,0.0053746436030833915,8535388.927820604,31551506.65732306,4002803.0833917325,0.0,13108930.435038548,508367312.577435,940758543.3216542,44325157.67344079,199433777.1548704,251999999.9999999,44325157.67344079,0.0,1.3935929285805604,1.215421134574917,1.6062163260136468,0.39720000000000005,Savana
Drâa - Tafilalet,2023,3,22.048521505376343,10.755510752688172,24.717741935483872,51.452969425099866,13.8,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5323168978016528,1.1834495665048796,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,4,24.978055555555557,13.001388888888888,17.64027777777778,52.46629607108224,0.7999999999999999,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.5418634730451453,1.1917856758853032,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,5,25.758736559139784,18.303763440860216,20.486559139784948,54.226325211569275,2.4000000000000004,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5620928808687748,1.1964284195221453,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,6,31.485972222222223,16.878333333333334,19.318055555555556,60.61166206058547,0.3,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.6211625156795493,1.2518874334246264,1.6062163260136468,0.3972,Savana
Drâa - Tafilalet,2023,7,36.512768817204304,13.75268817204301,10.09005376344086,61.26036074360787,0.2,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.6253957005549935,1.2622880040814266,1.6062163260136468,0.3972,Savana
